plan_id,institution_id,institution_name,state,city,control,institution_type,system_affiliation,enrollment,plan_type,document_type,organizing_structure,framework_alignment,recency_year,published_revised,version,file_format,source_url,landing_page_url,evidence_quote,verification,date_accessed,catalog_notes,source_lane,identifies_essential_functions,business_impact_analysis,orders_of_succession,delegations_of_authority,alternate_facilities,continuity_communications,vital_records,defines_rto,tt_e_program,devolution,reconstitution,addresses_academic_continuity,addresses_it_dr,references_fcd1,references_nist80034,references_iso22301,public_redacted_version,flags_present_count,has_deep,benchmark_present,benchmark_band
university-of-alaska-system,university-of-alaska-system,University of Alaska System,AK,Fairbanks,public,system office,University of Alaska System,,Business Continuity Program,template,essential-functions-based,FEMA Continuity Guidance Circular (Alaska non-federal entity guidance),,,,HTML,https://www.alaska.edu/risksafety/emergency,https://www.alaska.edu/risksafety,The Business and Academic Continuity of Operations Planning Program is designed to document a plan for recovery and resumption of critical functions within your department after an emergency has occurred.,link-only,2026-06-17,"University of Alaska System Office of Risk Services operates a 'Business and Academic Continuity of Operations Planning Program' and publishes a downloadable 'Business and Academic Continuity of Operations Planning Template' (.doc at alaska.edu/risksafety/download/Business-and-Academic-Continuity-of-Operations-Planning-Template-1.doc) for departments to develop continuity plans for recovery/resumption of critical functions. Risk Services is charged with designing and implementing emergency preparedness, disaster and business continuity programs system-wide (UAA/UAF/UAS). Page resolves on official alaska.edu host; quote taken from the official program page (web_fetch rate-limited, so link-only).",gapfill_states,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,3,False,,
alabama-am-university-academic-continuity,alabama-a-m-university,Alabama A&M University,AL,Normal,public,HBCU,State of Alabama,6000,Continuity of Instruction / Academic Continuity Plan,academic-continuity,departmental,,,,,HTML,https://www.aamu.edu/academics/distance-education-extended-studies/academic-continuity/index.html,https://www.aamu.edu/about/administrative-offices/information-technology-services/it-continuity.html,"we prioritize the assurance of academic continuity in the event of an emergency disruption that may result in the temporary or long-term suspension of campus activities, including face-to-face classes.",opened-and-confirmed,2026-06-17,"Alabama A&M 'Academic Continuity' program (Distance Education & Extended Studies) with Students, Faculty, Staff and FAQ resources and a linked IT Continuity page. Frames academic continuity as protecting the institution's mission and resiliency during emergency disruptions.",minority_serving,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,2,False,,
jacksonville-state-university-coop,jacksonville-state-university,Jacksonville State University,AL,Jacksonville,public,regional public university,,9600,Continuity of Operations Plan (COOP),business-continuity-framework,essential-functions-based,Continuity of Operations (COOP) essential-functions model,,,,HTML,https://www.jsu.edu/police/emergencymgt/coop.html,https://www.jsu.edu/police/emergencymgt/index.html,"The objectives of a Continuity of Operations Plan (COOP) are to minimize loss to the University, continue to serve faculty, staff, students, and visitors, and maintain administrative operations. The process encompasses maintaining and recovering the business, not just the recovery of technology.",opened-and-confirmed,2026-06-17,"Program page managed by the University Police Department / Emergency Preparedness. COOP is executed after life-safety issues are addressed by the EOP. Departments complete a fillable COOP Template PDF (linked on the page) forwarded to Emergency Management. Note: jsu.edu is Jacksonville State University (Alabama), distinct from Jackson State University (jsums.edu, Mississippi).",deep_south,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,2,False,,
tuskegee-university-it-disaster-recovery-plan,tuskegee-university,Tuskegee University,AL,Tuskegee,private-nonprofit,HBCU,,3000,IT Disaster Recovery Plan,it-dr,unclear,,,,,PDF,https://www.tuskegee.edu/student-affairs/info-tech/Disaster_Recovery_Plan.pdf,https://www.tuskegee.edu/student-affairs/info-tech,Tuskegee University IT Disaster Recovery Plan,link-only,2026-06-17,Tuskegee University (private HBCU). IT Disaster Recovery Plan PDF resolves on the official tuskegee.edu host (Information Technology). Title captured from the search-result listing; direct PDF render not completed at access time due to fetch rate limiting. Tuskegee also publishes a 2023 Emergency Operations Plan (NIMS-Disaster Compliant) PDF on the same domain. Verify document body on next render.,deep_south,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,1,False,,
university-of-arkansas-little-rock,university-of-arkansas-at-little-rock,University of Arkansas at Little Rock,AR,Little Rock,public,regional public university,University of Arkansas System,8200,Business Continuity Plan (BCP),it-dr,unclear,Business risk management / operational risk management (tiered IT recovery),2010,Third Revision (2010),Third Revision,HTML,https://ualr.edu/itservices/policies/business-continuity,https://ualr.edu/itservices/policies,"The Business Continuity Plan (BCP) for the University of Arkansas at Little Rock (UALR) integrates business risk management, operational risk management, and business continuity.",link-only,2026-06-17,"UA Little Rock Information Technology Services publishes a Business Continuity Plan (Third Revision, 2010) using a tiered approach to keep the university managed during a disaster that renders the technical infrastructure inoperable for a period exceeding two days. Distinct institution from University of Arkansas at Monticello already cataloged. Page resolves on official ualr.edu host; quote taken from the official ITS BCP page (web_fetch rate-limited, so link-only).",gapfill_states,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,4,False,,
university-of-arkansas-monticello-emp-bcp,university-of-arkansas-at-monticello,University of Arkansas at Monticello,AR,Monticello,public,regional public university,University of Arkansas System,3000,Business Continuity Plan (BCP),business-continuity-framework,essential-functions-based,All-hazards Emergency Management Plan; administrative function continuity,2025,"Emergency Management Plan, July 2025",,PDF,https://www.uamont.edu/UPD/pdfs/UAM-EMP-July-2025.pdf,https://www.uamont.edu/about/upd,"University of Arkansas at Monticello (UAM) - An Emergency Management Plan that includes maintaining a Business Continuity Plan (BCP) identifying systems needed to conduct administrative functions such as procurement, accounts payable, payroll, and student registration.",link-only,2026-06-17,"University of Arkansas at Monticello Emergency Management Plan PDF (July 2025) resolves on the official uamont.edu host (UPD). Quote is from the search-result summary describing the embedded Business Continuity Plan covering administrative functions (procurement, AP, payroll, registration). Direct PDF render not completed at access time due to fetch rate limiting; verify the verbatim in-document phrasing on next render.",deep_south,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,False,,
arizona-state-university,arizona-state-university,Arizona State University,AZ,Tempe,public,R1 university,Arizona Board of Regents,145000,Continuity of Operations Plan (COOP),business-continuity-framework,essential-functions-based,,2025,,,HTML,https://cfo.asu.edu/emergency-preparedness,https://cfo.asu.edu/emergency,ASU's COOP ensures critical university functions continue during disruptions or unexpected events. Each unit assigns a Continuity Coordinator to maintain its plan with Emergency Management.,opened-and-confirmed,2026-06-17,"Arizona State University Continuity of Operations Program managed through the CFO/University Business Services Office of Risk and Emergency Management. Tier-based model: Tier I units (vital to core operations) must maintain a standalone plan; Tier II units (can pause up to 72 hours) are managed by Tier I divisions. Each unit assigns a Continuity Coordinator; plans stored in an internal COOP SharePoint, reviewed annually and updated biennially.",southwest,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,2,False,,
northern-arizona-university,northern-arizona-university,Northern Arizona University,AZ,Flagstaff,public,regional public university,Arizona Board of Regents,28000,Business Continuity Program,business-continuity-framework,essential-functions-based,,2025,,,HTML,https://in.nau.edu/comptroller/business-continuity-and-disaster-recovery-plan,https://in.nau.edu/comptroller,"This document is intended to provide guidance and assistance for all NAU Colleges and Departments in the development, implementation and maintenance of a business continuity program.",opened-and-confirmed,2026-06-17,"NAU Comptroller's Office maintains the university Business Continuity and Disaster Recovery Plan. Detailed Business Impact Analysis methodology with Maximum Acceptable Outage (MAO) recovery targets and classification of core processes into Critical, Essential, and Administrative functions. Publishes a BCDR glossary, disaster recovery steps, a critical-functions assessment template, and links to the Arizona DOA business continuity standard.",southwest,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,4,False,,
university-of-arizona,university-of-arizona,University of Arizona,AZ,Tucson,public,R1 university,Arizona Board of Regents,53000,Continuity of Operations Plan (COOP),business-continuity-framework,essential-functions-based,,2026,Copyright 2026,,HTML,https://cirt.arizona.edu/resources/continuity-operations-plan,https://cirt.arizona.edu/resources/plans-overview,"To be better prepared, all UA departments, units, and colleges are required to use this form to complete a Continuity of Operations Plan (COOP) to describe how your area would operate during a wide range of emergencies or influenza pandemic and recover afterward to be fully operational.",opened-and-confirmed,2026-06-17,"University of Arizona Emergency Management (Critical Incident Response Team) COOP program. Departments/units/colleges complete a COOP via a Qualtrics-based form and can download a PDF; a sample COOP is published via Box. Operating units develop Business Continuity Plans identifying impacts of losses, recovery strategies, and Emergency Operations Personnel.",southwest,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,3,False,,
cal-poly-san-luis-obispo,california-polytechnic-state-university-san-luis-obispo,"California Polytechnic State University, San Luis Obispo",CA,San Luis Obispo,public,regional public university,California State University,22000,Business Continuity Program,business-continuity-framework,essential-functions-based,Federal Continuity Directives FCD 1 and FCD 2; Campus Administrative Policy 383; California EO S-04-06; California Emergency Services Act,,,,HTML,https://afd.calpoly.edu/emergency/resources/business-continuity,https://afd.calpoly.edu/emergency,We follow guidance from the Federal Continuity Directives (FCD 1 and FCD 2) issued by FEMA. Our programmatic policy is outlined in Campus Administrative Policy 383. The California State University System requires every CSU campus to maintain an active continuity program.,opened-and-confirmed,2026-06-17,Department of Emergency Management Business Continuity Program with a detailed table of 16 Mission Essential Functions mapped to divisions/units. BCP explicitly plans for devolution (adapting if resources are lost) and reconstitution (rebuilding when stabilized). Uses Kuali Ready; oversight by the Business Continuity Planning Committee (BCPC); approved BCPs stored in SharePoint repository.,west_pacific,True,False,False,False,False,True,False,False,False,True,True,True,True,True,False,False,False,7,False,,
